all_performers,director,movie_name,movie_type,release_date
,,小时代4：灵魂尽头（含纪录片《最好的我们》）,,
,,小时代4：灵魂尽头（含纪录片《最好的我们》）,,
,,小时代4：灵魂尽头（含纪录片《最好的我们》）,,
,,小时代4：灵魂尽头（含纪录片《最好的我们》）,,
,,听说,,
,,小时代4：灵魂尽头（含纪录片《最好的我们》）,,
,,小时代4：灵魂尽头（含纪录片《最好的我们》）,,
,,小时代4：灵魂尽头（含纪录片《最好的我们》）,,
,,亲，别怕,,
,,听说,,
,,小时代4：灵魂尽头（含纪录片《最好的我们》）,,
,,听说,,
,,亲，别怕,,
,,亲，别怕,,
,,亲，别怕,,
,,亲，别怕,,
,,亲，别怕,,
,,小时代4：灵魂尽头（含纪录片《最好的我们》）,,
,,亲，别怕,,
,,亲，别怕,,
,,小时代4：灵魂尽头（含纪录片《最好的我们》）,,
,,小时代4：灵魂尽头（含纪录片《最好的我们》）,,
,,亲，别怕,,
,,新年行动,,
,,新年行动,,
,,新年行动,,
,,新年行动,,
,,新年行动,,
,,新年行动,,
,,深海挑战,,
,,新年行动,,
,,深海挑战,,
,,深海挑战,,
,,深海挑战,,
,,深海挑战,,
,,深海挑战,,
,,深海挑战,,
,,深海挑战,,
,,深海挑战,,
,,深海挑战,,
,,深海挑战,,
"张立威,张植绿,徐少强,卡特琳娜·莫里诺,范子轩,何月涵,黄赞臣,于东泽,范泽熙,朱哲嶙",宋占涛,无敌小飞猪,"动画,奇幻,喜剧",2015-04-03
"陈龙,蓝盈莹,顾又铭,尔玛依娜,杨欣,王美英,高杰,金莞鸿,韩木墩,商忆莎",李智,轩辕剑传奇,"动作,奇幻,冒险",2015-08-04
"何子健,何伟,米歇尔·法布里斯,阿英达.迈卜德扎,吉拉德卡·伊莉娜,夏洛瓦·安顿,索博尔奇,安娜塔莉亚·沙迪科娃,张亚敏,袁鸿冰",袁野,狂野飞车,"动作,爱情,冒险",2015-08-14
"车艺莲,常奕然,刘佳佳,刘冠霖,尹菲,周若涵,信将凡,刘冠麟,秦榛,常奕然",秦榛,双生灵,"惊悚,悬疑",2015-08-21
"马浴柯,吴昕,潘粤明,王景春,莫小棋,朱雨辰,洪天明,陈国坤,刘颖仪,林威",彭发,探灵档案,"惊悚,悬疑",2015-10-23
"黄莺,张安琪,李正翔,程玉珠,海帆,刘彬,孟祥龙,詹佳,曹真,叶露",徐克,特功明星,动画,2015-04-10
"吉桥,李泰,孙菲菲,商蓉,王艺嘉,陈秋果,邓紫衣,张华,宋亚平,武永顺",项海明,诡影迷情,"恐怖,惊悚,悬疑",2015-11-27
"张超,李晓峰,张瑶,屈菁菁,刘雅瑟,吴大维,隋凯,叶童,白梓轩,那威",海涛,爱之初体验,"喜剧,爱情",2015-08-07
"白凯南,刘宸希,任铭松,孟鹏,舒鸣,张刚,陈彦麟,宁小花,刘超,曹独山",陈晓曦,我爸比我小四岁,"剧情,喜剧,家庭",2015-08-07
"吕聿来,李悦铭,牛犇,刘越,马超,张京生,许薇,黄骞,买政尧,王青伟",高峰,穿越硝烟的歌声,"音乐,传记,历史,战争",2015-08-20
"王霏,蔡天楠,蔡天楠,蔡天楠",姜威,使命召唤,"剧情,短片,战争",
"奎文赞妮·瓦利斯,杰米·福克斯,卡梅隆·迪亚兹,萝丝·拜恩,鲍比·坎纳瓦尔,阿德沃尔·阿吉纽依-艾格拜吉,大卫·札亚斯,丹尼尔·弗莱厄蒂,翠茜·索姆斯,Jill Nicolini",威尔·古勒,安妮：纽约奇缘,"喜剧,家庭,音乐",2015-01-09
"亚历克斯·帕斯特尔,基姆·古铁雷斯,何塞·科罗纳多,玛尔塔·埃图拉,拉蒂西亚·多瑞拉,伊万·马萨戈,米克尔·伊格莱西亚斯,Jose Mellinas,阿尔伯特·普拉特,莫莫·巴列斯特罗斯",大卫·帕斯特尔,末日浩劫,"科幻,惊悚,冒险",2014-12-26
,,轩辕剑传奇,,
,,轩辕剑传奇,,
,,双生灵,,
,,双生灵,,
,,特功明星,,
,,探灵档案,,
"陶红,郑昊,巩汉林,李静,李海,王素云,曾韵蓁,陈婧旸,宁敬武",宁敬武,为了这片土地,传记,2015-07-01
,,探灵档案,,
,,使命召唤,,
,,爱之初体验,,
,,特功明星,,
"肖笑波,刘登雄,刘妍",朱赵伟,李三娘,戏曲,
,,爱之初体验,,
,,末日浩劫,,
,,末日浩劫,,
,,末日浩劫,,
,,穿越硝烟的歌声,,
,,末日浩劫,,
,,末日浩劫,,
,,末日浩劫,,
,,为了这片土地,,
,,为了这片土地,,
,,为了这片土地,,
,,为了这片土地,,
,,末日浩劫,,
,,为了这片土地,,
,,李三娘,,
,,为了这片土地,,
,,李三娘,,
,,李三娘,,
,,为了这片土地,,
,,为了这片土地,,
,,为了这片土地,,
,,为了这片土地,,
"弗拉德连·芭尔贝,刘纯燕,霍尊,金炜,Jessica Straus,道格·俄尔茨,辛迪·罗宾逊,玛丽安娜·米勒,Wendee Lee,伊尔琳·菲茨杰拉德",马克西姆·斯韦什尼科夫,冰雪女王,"动画,奇幻",2015-08-03
,,末日浩劫,,
,,末日浩劫,,
,,末日浩劫,,
,,末日浩劫,,
,,安妮：纽约奇缘,,
,,安妮：纽约奇缘,,
